LI-8100:	     20c	      93	    978b	     237	     18c
File Name:	SR_3_2400_east
Instrument Name:	GCBG
Serial Number:	81A-0265
Software:	2.0.0	LI-8100 File Viewer 2.0.0
Comments:	
Obs#:	1
Port#:	0
Label:	SR_3_2400_East
Observation Length:	03:00
Observation Delay:	00:00
IRGA Averaging:	4
Flow8100:	10
FlowMux:	0
Tmux:	0,00
Virga:	19,0
Vmux:	55,0
Vext:	0,0
Vcham:	835,2
Offset:	3,0
Area:	317,8
Vtotal:	1807,6
V1 Info:	0	M=1	B=0
V2 Info:	0	M=1	B=0
V3 Info:	0	M=1	B=0
V4 Info:	0	M=1	B=0
Labels_01:	28
Type	Etime	Date	Tcham	Pressure	H2O	CO2	Cdry	T1	T2	T3	T4	V1	V2	V3	V4	RH	Tbench	Tboard	Vin	CO2ABS	H2OABS	Hour	DOY	RAWCO2	RAWCO2REF	RAWH2O	RAWH2OREF
1	-1	2023-12-09 10:57:54	27.12	76.25	14.597	368.14	373.59	-17.28	-182.99	-182.89	-182.92	0.193	0	0.012	0	30.92	51.44	24.51	12.49	0.07707	0.08918	10.9653	343.45689	2262996	2550515	1704018	1708057
1	-1	2023-12-09 10:57:55	27.16	76.25	14.619	366.93	372.37	-17.34	-182.83	-182.83	-182.9	0.193	0	0.012	0	30.94	51.41	24.53	12.37	0.07701	0.08926	10.9656	343.45690	2263735	2551226	1704305	1708438
1	-1	2023-12-09 10:57:56	27.18	76.25	14.63	365.86	371.29	-17.37	-182.87	-182.91	-182.87	0.193	0	0.013	0	30.93	51.41	24.54	12.37	0.07658	0.08936	10.9658	343.45691	2264826	2551482	1704513	1708742
1	-1	2023-12-09 10:57:57	27.2	76.24	14.645	365.03	370.46	-17.41	-182.89	-182.82	-182.93	0.193	0	0.012	0	30.92	51.41	24.55	12.37	0.07678	0.08954	10.9661	343.45692	2265429	2552589	1704675	1709110
1	-1	2023-12-09 10:57:58	27.23	76.23	14.648	364.52	369.94	-17.52	-182.83	-182.9	-182.79	0.193	0	0.012	0	30.87	51.41	24.56	12.38	0.07664	0.08942	10.9664	343.45693	2266056	2553009	1705018	1709318
1	-1	2023-12-09 10:57:59	27.27	76.24	14.652	363.84	369.25	-17.59	-182.81	-182.81	-182.77	0.192	0	0.012	0	30.83	51.41	24.57	12.37	0.07634	0.08937	10.9667	343.45694	2266778	2553208	1705267	1709531
1	-1	2023-12-09 10:58:00	27.26	76.25	14.651	363.41	368.81	-17.64	-182.84	-182.77	-182.84	0.192	0	0.012	0	30.79	51.41	24.58	12.37	0.07636	0.08932	10.9669	343.45696	2267172	2553695	1705572	1709776
1	-1	2023-12-09 10:58:01	27.27	76.25	14.649	363.14	368.54	-17.72	-182.83	-182.76	-182.83	0.192	0	0.012	0	30.75	51.41	24.6	12.37	0.07645	0.08945	10.9672	343.45697	2267423	2554167	1705649	1710009
1	-1	2023-12-09 10:58:02	27.25	76.25	14.647	362.9	368.3	-17.81	-182.75	-182.82	-182.71	0.192	0	0.012	0	30.73	51.41	24.61	12.38	0.07659	0.08937	10.9675	343.45698	2267478	2554521	1705905	1710165
1	-1	2023-12-09 10:58:03	27.21	76.25	14.65	362.72	368.11	-17.91	-182.74	-182.78	-182.78	0.192	0	0.012	0	30.76	51.38	24.61	12.38	0.07653	0.08948	10.9678	343.45699	2268306	2555302	1706128	1710498
