LI-8100:	     20c	      93	    9787	     233	     188
File Name:	SR_5_2800_east
Instrument Name:	GCBG
Serial Number:	81A-0265
Software:	2.0.0	LI-8100 File Viewer 2.0.0
Comments:	
Obs#:	1
Port#:	0
Label:	SR_5_2800_east
Observation Length:	03:00
Observation Delay:	00:00
IRGA Averaging:	4
Flow8100:	10
FlowMux:	0
Tmux:	0,00
Virga:	19,0
Vmux:	55,0
Vext:	0,0
Vcham:	835,2
Offset:	3,0
Area:	317,8
Vtotal:	1807,6
V1 Info:	0	M=1	B=0
V2 Info:	0	M=1	B=0
V3 Info:	0	M=1	B=0
V4 Info:	0	M=1	B=0
Labels_01:	28
Type	Etime	Date	Tcham	Pressure	H2O	CO2	Cdry	T1	T2	T3	T4	V1	V2	V3	V4	RH	Tbench	Tboard	Vin	CO2ABS	H2OABS	Hour	DOY	RAWCO2	RAWCO2REF	RAWH2O	RAWH2OREF
1	-1	2023-12-09 13:49:43	25.82	72.9	19.103	405.66	413.56	-183.08	-183.04	-183.04	-183.04	0.179	0	0.015	0	41.62	51.33	29.65	12.11	0.08315	0.10742	13.8286	343.57619	2259644	2552174	1687821	1707814
1	-1	2023-12-09 13:49:44	25.79	72.9	19.098	405.55	413.45	-183.1	-183.03	-183.03	-183.07	0.18	0	0.015	0	41.65	51.38	29.66	11.98	0.08295	0.10722	13.8289	343.57620	2259556	2551692	1687694	1707476
1	-1	2023-12-09 13:49:45	25.77	72.91	19.105	405.1	412.99	-183.08	-183.08	-183.01	-183.04	0.18	0	0.015	0	41.72	51.41	29.66	11.98	0.08267	0.10721	13.8292	343.57622	2259692	2551311	1687604	1707405
1	-1	2023-12-09 13:49:46	25.75	72.92	19.098	404.21	412.08	-183.09	-183.13	-183.02	-183.06	0.18	0	0.015	0	41.79	51.44	29.66	11.98	0.08264	0.10722	13.8294	343.57623	2259962	2551503	1687577	1707357
1	-1	2023-12-09 13:49:47	25.74	72.91	19.065	405.34	413.22	-183.09	-183.13	-183.02	-182.99	0.18	0	0.015	0	41.76	51.44	29.66	12	0.08391	0.10661	13.8297	343.57624	2257499	2551375	1687430	1706526
1	-1	2023-12-09 13:49:48	25.72	72.91	19.001	408.4	416.31	-183.14	-183.07	-183.11	-183.07	0.18	0	0.015	0	41.67	51.41	29.67	12	0.08508	0.10606	13.8300	343.57625	2254911	2550903	1687191	1705675
1	-1	2023-12-09 13:49:49	25.73	72.91	18.927	412.17	420.12	-183.13	-183.06	-183.09	-183.06	0.18	0	0.015	0	41.53	51.41	29.67	12.02	0.08512	0.10616	13.8303	343.57626	2254117	2550091	1686798	1705380
1	-1	2023-12-09 13:49:50	25.75	72.9	18.871	415.42	423.41	-183.13	-183.06	-183.09	-182.99	0.18	0	0.015	0	41.4	51.41	29.68	12.02	0.08443	0.10639	13.8306	343.57627	2254018	2548539	1686588	1705437
1	-1	2023-12-09 13:49:51	25.74	72.9	18.861	415.66	423.65	-183.14	-183.07	-183.07	-183.04	0.18	0	0.015	0	41.38	51.44	29.68	12.02	0.0834	0.10677	13.8308	343.57628	2255275	2547840	1686317	1705601
1	-1	2023-12-09 13:49:52	25.73	72.91	18.912	412.46	420.41	-183.14	-183.07	-183.07	-183.07	0.18	0	0.015	0	41.52	51.44	29.7	12.03	0.08268	0.10705	13.8311	343.57630	2256474	2547696	1686494	1706101
